"","x"
"(Intercept)",37.1864089172696
"cg05156582",0.115509913534298
"cg11953516",0.0183590491079229
"cg02249657",-0.0418865132779902
"cg07135660",0.0238459222799801
"cg21050001",0.11055164098762
"cg02362020",-0.141120822378657
"cg05612654",0.0447779978536613
"cg11478200",0.061962182158214
"cg27246129",-0.000478378095105173
"cg09597710",-0.0499281742489058
"cg12551957",-0.0704817304896895
"cg19343449",-0.104913741825266
"cg25260426",0.000796851318990642
"cg03732020",-0.0718614325123159
"cg15863552",-0.0150817718844511
"cg24995008",-0.0377172599783809
"cg06867623",0.017301340980637
"cg16717713",0.0428761675543117
"cg18414021",0.0143704686669953
"cg19630520",-0.00184554101551506
"cg00063471",0.0309446220648437
"cg00078759",-0.103633243740871
"cg04767756",-0.0892424849516604
"cg09534489",-0.0032288459088219
"cg04308797",-0.180612882366801
"cg09473315",-0.0524260083932704
"cg15094819",0.015759646119721
"cg15944684",-0.0539102160217795
"cg06857263",0.196929782059684
"cg07455685",-0.0823420749283609
"cg26232247",0.0506015973470633
"cg02923264",-0.00780726852498045
"cg00026803",0.0045349587589111
"cg05005073",-0.100374846707754
"cg05126581",-0.00256555706823683
"cg06638529",0.172156319620803
"cg08877463",-0.0314630010596222
"cg09015905",-0.0476502238055151
"cg09168997",-0.0977094094510684
"cg09874213",-0.0492233115027369
"cg11414742",-0.458719637247955
"cg13802571",-0.0147269468933462
"cg15012468",0.022685568514669
"cg18273593",-0.00261482755341759
"cg18486150",-0.0284784741875971
"cg18975791",0.039314709259434
"cg19769613",-0.00213966286823285
"cg20948151",0.30562542348696
"cg21196487",-0.170223926505001
"cg25843580",0.0970860331495919
"cg01966334",0.00266280008081008
"cg05418915",-0.241557841443218
"cg09399716",0.412231061395671
"cg18258980",0.00290397570676251
"cg19040077",0.0969874895259352
"cg19124521",-0.124531136633463
"cg20685898",0.0549317439722326
"cg20928986",0.0227035915162404
"cg21213426",0.127051747103973
"cg22193436",-0.325625125807747
"cg24549161",-0.345858250969317
"cg27455540",0.00567071766566267
"cg03018380",-0.254090809708383
"cg07644446",-0.0759655864538667
"cg08072840",0.0187499440115656
"cg08274518",0.125924413199345
"cg08804892",0.107852627838614
"cg12458207",-0.109947151095617
"cg17820229",0.00196003768706912
"cg23194766",-0.156912885522627
"cg24838136",0.0926651214094917
"cg24868271",0.0724055087500136
"cg04574135",0.0819166102017301
"cg06295294",-0.256913388359955
"cg11569478",-0.0728300058963066
"cg17453767",-0.104370408760495
"cg19856241",0.0642370264870476
"cg20086219",-0.11798648662398
"cg20818457",0.00251451029186205
"cg22395490",0.111130774589236
"cg24018190",0.0154154365745152
"cg24999727",0.12161852648756
"cg02486497",0.371364840833735
"cg07525267",-0.0419385443349427
"cg07575519",-0.0692078295738335
"cg08391380",-0.0422692058191527
"cg17356056",0.124530845353359
"cg19562321",-0.00801612973208785
"cg22836605",0.0134351360806385
"cg03278811",0.0452662338980515
"cg05353884",0.0266511653589748
"cg06011067",0.353795608670842
"cg06132876",-0.00116184539712292
"cg07380095",0.04617796239492
"cg08712118",-0.246417019147594
"cg11171094",0.0850049961176034
"cg11582014",-0.258065362106331
"cg12831863",0.0203279298450008
"cg13355449",-0.0715999517273122
"cg14160093",-0.109790937822639
"cg14911766",-0.017893966219335
"cg18814228",0.0607576427914342
"cg19513004",0.0624026823566808
"cg21904807",0.0852391616283975
"cg24102242",-0.168023609153163
"cg24902920",0.258036965187877
"cg02544502",0.0165725826126481
"cg06489609",-0.00780249943999036
"cg08009697",0.0679704311280782
"cg10243939",0.0126237754033309
"cg12692727",-0.0786067176759297
"cg14736458",0.121103561919244
"cg15587771",0.00019786188323108
"cg16639880",0.0297979697714552
"cg25120444",0.00160215788711835
"cg02608831",-0.0445801469293898
"cg08608523",-0.0767128410859373
"cg10825040",-0.103359691258918
"cg10941185",-0.14460084068211
"cg17694593",-0.0823997486345064
"cg18581669",-0.311443375854039
"cg14400672",-0.0730062873317802
"cg03669298",0.0132824827081043
"cg05477444",0.294956117248626
"cg08772206",0.00859137997261676
"cg10600964",0.202038491082044
"cg14330737",0.00356522221112978
"cg14920044",0.0427328602172223
"cg17120273",-0.0297818205651179
"cg19472590",0.0578537925882622
"cg22892607",0.0752729276908661
"cg23829193",-0.072217361509264
"cg24091315",0.00997650817837613
"cg27630957",-0.0902676238377191
"cg00629688",0.0630081293738255
"cg06178669",-0.14094384486136
"cg06434874",-0.0101074857853835
"cg08995609",0.0551357463706
"cg10832281",0.0433028090801133
"cg15111638",0.00402155265735342
"cg15511120",-0.134316637878877
"cg19013178",-0.0387396737701869
"cg20446143",-0.0116075835208552
"cg23012054",0.00872301103019684
"cg23677291",0.274684265234163
"cg24530510",-0.0520217774387119
"cg25026627",-0.000831812878110335
"cg02927448",0.0714247790717062
"cg06868955",-0.0360965406730771
"cg12795893",0.176468119192428
"cg14189750",-0.0191483908735073
"cg20406728",0.0374179481447957
"cg20722088",0.165742484659546
"cg21531873",-0.281158943976119
"cg24428144",-0.166025439999293
"cg25771683",0.00291669320087938
"cg26386886",0.0387675373911475
"cg26871735",0.039510084851994
"cg27292547",0.0733719555082569
"cg09041337",0.0553613054968599
"cg26400954",-0.102395751988028
"cg02893348",-0.137230156086728
"cg05168580",0.448156848627526
"cg05291282",0.0278197104275302
"cg07502782",0.165941592903208
"cg09147827",-0.0167037521559638
"cg11745444",0.139818011919668
"cg13274014",0.19632322592624
"cg20018782",0.567343969716753
"cg01739960",0.183068054904716
"cg06020164",0.00598302408427565
"cg11775292",0.0418733173024357
"cg12299554",0.0136921537296073
"cg13755159",0.232940110309111
"cg17108064",0.151000490806196
"cg25244921",0.130522279369919
"cg26350373",0.048106063848008
"cg02225847",-0.0186127184998491
"cg02707290",0.0118065223517939
"cg03740666",6.57733163291367e-06
"cg04833379",0.0207573961572759
"cg07506749",-0.13302474546897
"cg08441546",-0.0874036342650749
"cg16765487",-0.010310705073646
"cg26435198",-0.016572266928485
"cg00041989",0.107230210732143
"cg00190545",0.000380693362920109
"cg07166159",-0.0556511271432687
"cg07923794",0.0677840223461803
"cg08004014",-0.00192043289750764
"cg13973180",0.09034670617258
"cg14019757",-0.0147170608971484
"cg17077641",0.0550233230018087
"cg17996892",-0.0248185143573887
"cg21531740",0.0820000281416149
"cg22572454",0.0718288210043767
"cg22697517",-0.309026980952078
"cg22947322",-0.182008325824655
"cg25839227",0.143373403347462
"cg06923616",0.00322476669371182
"cg13476901",0.0589782245717569
"cg19203115",0.112303176098874
"cg23366050",0.0644157887392206
"cg12570309",-0.154963442825515
"cg26613742",0.179254460063014
"cg26651782",0.132127823318928
"cg06520134",-0.0178933349658752
"cg09315134",0.0981395551776221
"cg11598935",0.0173918079915716
"cg11614585",0.0552785721365534
"cg18184975",-0.0706883321789746
