"","x"
"cg05156582",0.78008416502907
"cg11953516",0.500978665280875
"cg02249657",2.88573634091985
"cg07135660",-0.438375286744348
"cg21050001",1.52417847177164
"cg02362020",1.9100769044351
"cg05612654",1.65409806094533
"cg11478200",0.394902993667957
"cg27246129",-0.733633396771054
"cg09597710",3.64873688152072
"cg12551957",2.11890863007185
"cg19343449",2.33787452604216
"cg25260426",-0.103853973024194
"cg03732020",2.67430358025583
"cg15863552",3.30438168809098
"cg24995008",3.59111924050011
"cg06867623",0.583141719193428
"cg16717713",-2.02659883613583
"cg18414021",0.0898635802368988
"cg19630520",0.649169734716019
"cg00063471",-1.85362376245358
"cg00078759",2.29263847649282
"cg04767756",0.32351584409402
"cg09534489",2.88609332667011
"cg04308797",3.0650940407845
"cg09473315",-1.84443945049542
"cg15094819",-3.06798301278723
"cg15944684",-1.2691475793503
"cg06857263",1.68111873156907
"cg07455685",2.90851120585527
"cg26232247",-0.133827926585788
"cg02923264",-1.66801357473376
"cg00026803",-1.7112431225391
"cg05005073",0.493122425917983
"cg05126581",0.784579625138789
"cg06638529",-0.591486613238125
"cg08877463",1.12476276145197
"cg09015905",1.16883056020219
"cg09168997",0.552040091978268
"cg09874213",-1.12662731651742
"cg11414742",-0.664125372931414
"cg13802571",-3.07149004069164
"cg15012468",0.701700300247803
"cg18273593",-0.735198125064146
"cg18486150",-2.32853473329085
"cg18975791",-0.151146097983244
"cg19769613",1.67959338232569
"cg20948151",0.107318849762795
"cg21196487",-1.90413459000763
"cg25843580",0.597428270896067
"cg01966334",0.45245896107587
"cg05418915",-1.15207904198531
"cg09399716",-0.836311971480261
"cg18258980",0.550255702367188
"cg19040077",-0.136381086134345
"cg19124521",-0.386124003272214
"cg20685898",1.97591016900206
"cg20928986",0.679347522997476
"cg21213426",1.96985971686373
"cg22193436",-1.31259967225057
"cg24549161",-0.132052281286171
"cg27455540",-0.579164079929037
"cg03018380",-0.676414822992709
"cg07644446",-1.13797519968068
"cg08072840",0.501056514672537
"cg08274518",2.12496683819552
"cg08804892",-1.76761184316997
"cg12458207",-1.04511813131111
"cg17820229",0.784962547295062
"cg23194766",-0.939833172332849
"cg24838136",1.39788795278444
"cg24868271",0.25186881228585
"cg04574135",-2.67381206899851
"cg06295294",0.872911391839369
"cg11569478",-0.432397615161612
"cg17453767",0.751827803998848
"cg19856241",0.591127227940305
"cg20086219",-1.04081057373736
"cg20818457",-0.231659030561671
"cg22395490",0.574835365759834
"cg24018190",0.470093934491483
"cg24999727",0.505996255741304
"cg02486497",-1.60112491435899
"cg07525267",0.543150695538595
"cg07575519",-0.373923073987553
"cg08391380",0.853325073401559
"cg17356056",1.2322614647263
"cg19562321",-0.245046982923299
"cg22836605",-0.0603047109626986
"cg03278811",0.0344228536629234
"cg05353884",-0.609687351686947
"cg06011067",1.64108663248586
"cg06132876",1.45817002260866
"cg07380095",-2.45078268779742
"cg08712118",-0.239998715917103
"cg11171094",1.22884860299047
"cg11582014",-0.0634158162667237
"cg12831863",-0.93412214062155
"cg13355449",-0.137137302407142
"cg14160093",-0.182430973910872
"cg14911766",-0.65952616232471
"cg18814228",2.00150024922002
"cg19513004",2.38650846950245
"cg21904807",-0.104400443440589
"cg24102242",0.935155481839913
"cg24902920",-1.50256291630377
"cg02544502",-1.94521151646258
"cg06489609",0.196185755399363
"cg08009697",0.462722788871422
"cg10243939",-2.49346283978856
"cg12692727",2.3086693678936
"cg14736458",-1.36434887048113
"cg15587771",0.290609935738286
"cg16639880",1.98427125900554
"cg25120444",-0.935823970243509
